| # | team | spaceship1 | spaceship2 | spaceship3 | spaceship4 | spaceship5 | spaceship6 | spaceship7 | spaceship8 | spaceship9 | spaceship10 | spaceship11 | spaceship12 | spaceship13 | spaceship14 | spaceship15 | spaceship16 | spaceship17 | spaceship18 | spaceship19 | spaceship20 | spaceship21 | spaceship22 | spaceship23 | spaceship24 | spaceship25 |
| 14 | 46 TiB | 1 | 1 | 1 | 27 | 42 | 31 | 36 | 34 | 26 | 28 | 52 | 1 | 25 | 30 | 29 | 14 | 14 | 16 | 11 | 12 | 13 | 13 | 20 | 10 | 10 |
| 15 | The Blind Hen | 1 | 81 | 1 | 49 | 39 | 26 | 36 | 34 | 28 | 25 | 54 | 33 | 22 | 7 | 23 | 15 | 19 | 14 | 24 | 14 | 11 | 15 | 17 | 11 | 12 |
| 16 | xfold | 1 | 1 | 1 | 27 | 28 | 15 | 19 | 19 | 13 | 13 | 48 | 1 | 9 | 21 | 23 | 11 | 18 | 28 | 12 | 17 | 18 | 18 | 7 |  | 22 |
| 17 | Jumbo Chicken | 1 | 85 | 67 | 56 | 64 | 32 | 36 | 34 | 27 | 28 | 60 | 40 | 25 | 30 | 29 | 13 | 14 | 16 | 10 | 12 | 13 | 12 | 19 | 14 | 9 |
| 18 | Pigimarl | 1 | 1 | 1 | 1 | 12 | 43 | 7 | 8 | 44 | 11 | 1 | 44 | 30 | 19 | 54 | 40 | 56 | 23 | 55 | 26 | 22 | 52 | 25 | 23 | 23 |
| 19 | kamirulez! | 1 | 1 | 1 | 39 | 12 | 16 | 14 | 21 | 9 | 14 | 1 | 1 | 11 | 7 | 15 | 18 | 20 | 29 | 33 | 18 | 16 | 20 | 6 |  |  |
| 19 | chirijako | 1 | 1 | 1 | 1 | 43 | 49 | 50 | 53 | 46 | 40 | 1 | 49 | 35 | 45 | 34 | 30 | 28 | 15 | 45 | 21 | 21 | 21 | 23 | 8 | 14 |
| 21 | TBD | 1 | 1 | 1 | 27 | 43 | 41 | 62 | 51 | 40 | 34 | 1 | 42 | 28 | 35 | 45 | 33 | 25 | 19 | 34 | 22 | 24 | 23 | 26 | 18 | 20 |
| 22 | sonna*baka*na | 1 | 1 | 1 | 1 | 12 | 22 | 14 | 21 | 25 | 22 | 1 | 36 | 17 | 7 | 11 | 29 | 7 | 31 | 21 | 35 | 32 | 30 | 12 |  |  |
| 23 | hikkash | 1 | 93 | 1 | 69 | 76 | 43 | 65 | 53 | 39 | 35 | 62 | 44 | 30 | 37 | 47 | 31 | 23 | 11 | 46 | 25 | 20 | 19 | 24 | 6 | 17 |
| 24 | toomer | 1 | 1 | 1 | 1 | 25 | 19 | 31 | 21 | 14 | 19 | 1 | 1 | 15 | 7 | 8 | 22 | 21 | 38 | 8 | 29 | 31 | 34 |  |  |  |
| 25 | The Cat is #1!! | 1 | 55 | 87 | 69 | 76 | 43 | 65 | 53 | 41 | 35 | 1 | 44 | 30 | 37 | 42 | 36 | 26 | 24 | 48 | 23 | 25 | 24 | 27 | 19 | 21 |
| 26 | WILD BASHKORT MAGES | 1 | 55 | 1 | 21 | 25 | 18 | 21 | 17 | 17 | 14 | 55 | 35 | 12 | 7 | 4 | 21 | 11 | 8 | 20 | 60 | 51 | 21 |  |  |  |
| 27 | Raging Mushrooms | 146 | 89 | 72 | 60 | 67 | 38 | 48 | 47 | 35 | 33 | 61 | 41 | 27 | 42 | 33 | 32 | 31 | 27 | 17 | 20 | 19 | 29 | 22 | 24 |  |
| 28 | Panicked Albatross | 1 | 1 | 1 | 46 | 60 | 50 | 20 | 32 | 38 | 26 | 1 | 1 | 21 | 7 | 28 | 24 | 34 | 39 | 37 | 42 | 44 | 35 | 8 |  |  |
| 29 | udfew | 1 | 1 | 70 | 76 | 12 | 67 | 14 | 21 | 30 | 58 | 1 | 38 | 18 | 57 | 39 | 20 | 24 | 41 | 9 | 31 | 35 | 27 | 14 |  |  |
| 30 | LILiK | 1 | 107 | 86 | 73 | 80 | 41 | 64 | 51 | 41 | 38 | 64 | 42 | 28 | 35 | 47 | 34 | 29 | 20 | 52 | 27 | 27 | 28 |  | 16 | 16 |
| 31 | powder | 1 | 1 | 1 | 43 | 24 | 11 | 14 | 13 | 19 | 17 | 1 | 56 | 43 | 21 | 40 | 47 | 43 | 35 | 49 | 38 | 36 | 35 |  |  |  |
| 32 | mj | 156 | 93 | 87 | 69 | 80 | 43 | 65 | 53 | 41 | 35 | 64 | 44 | 30 | 37 | 47 | 35 | 26 | 24 | 47 | 23 | 25 | 24 |  | 19 | 19 |
| 33 | ??? | 1 | 1 | 1 | 1 | 12 | 20 | 26 | 21 | 18 | 18 | 1 | 1 | 13 | 21 | 23 | 23 | 36 | 53 |  | 44 | 41 | 31 |  |  |  |
| 34 | Sunspear | 1 | 55 | 65 | 46 | 32 | 20 | 26 | 21 | 20 | 21 | 47 | 1 | 13 | 21 | 41 | 52 | 54 | 59 | 41 | 48 | 48 |  | 11 |  |  |
| 35 | locally constant | 1 | 104 | 87 | 74 | 86 | 51 | 74 | 70 | 48 | 43 | 68 | 50 | 36 | 43 | 56 | 45 | 35 | 26 | 53 | 30 | 30 |  | 29 | 17 | 25 |
| 36 | kumanomi | 1 | 1 | 1 | 53 | 57 | 30 | 31 | 31 | 24 | 23 | 75 | 37 | 38 | 63 | 21 | 17 | 14 | 45 | 70 | 69 | 29 | 16 |  |  |  |
| 37 | hirosegolf | 1 | 88 | 72 | 58 | 66 | 35 | 47 | 44 | 31 | 31 | 70 | 51 | 37 | 34 | 36 | 26 | 32 | 32 | 31 | 19 | 17 | 26 |  |  |  |
| 38 | piggyhack | 1 | 1 | 1 | 27 | 31 | 24 | 29 | 28 | 20 | 30 | 48 | 1 | 19 | 20 | 23 | 48 | 50 | 62 | 23 | 46 | 46 |  |  |  |  |
| 39 | Kirby's Star Allies | 1 | 1 | 1 | 26 | 59 | 36 | 43 | 40 | 32 | 41 | 80 | 63 | 48 | 49 | 31 | 27 | 40 | 48 | 14 | 36 | 37 | 32 |  |  |  |
| 40 | OpenMasters | 1 | 93 | 93 | 69 | 82 | 43 | 65 | 53 | 44 | 39 | 62 | 44 | 30 | 37 | 50 | 37 | 29 | 21 | 51 | 28 | 28 |  | 31 |  | 18 |
| 41 | THIRTEEN | 1 | 84 | 1 | 54 | 62 | 36 | 43 | 41 | 32 | 41 | 79 | 60 | 45 | 49 | 31 | 27 | 40 | 46 | 14 | 36 | 37 | 32 |  |  |  |
| 42 | Sayang <3 | 1 | 1 | 1 | 25 | 1 | 1 | 7 | 1 | 1 | 5 | 1 | 60 |  | 51 | 18 | 58 | 57 | 72 | 29 | 51 | 58 |  |  |  |  |
| 43 | Perpetuum Mobile | 1 | 55 | 81 | 51 | 25 | 57 | 35 | 38 | 61 | 51 | 1 | 34 | 67 | 7 | 35 | 43 | 47 | 40 | 50 | 63 | 62 | 44 |  |  |  |
| 44 | Rick Zapor | 1 | 1 | 1 | 39 | 34 | 28 | 40 | 46 | 37 | 54 | 51 | 1 | 46 | 61 | 42 | 49 | 55 | 65 | 26 | 40 | 45 |  |  |  |  |
| 45 | negainoido | 1 | 110 | 96 | 82 | 95 | 72 | 90 | 94 | 59 | 56 | 76 | 54 | 44 | 55 | 66 | 54 | 48 | 36 | 58 | 41 | 39 | 38 | 32 | 28 |  |
| 46 | mipt.lambda | 1 | 55 | 1 | 42 | 40 | 40 | 72 | 74 | 56 | 65 | 1 | 62 | 49 | 71 | 45 | 57 | 51 | 44 | 35 | 47 | 47 | 39 |  |  |  |
| 47 | Lamda Quakens | 1 | 1 | 1 | 27 | 12 | 53 | 52 | 13 | 60 | 66 | 95 | 1 | 58 | 72 | 62 | 59 | 59 | 72 | 36 | 52 | 57 | 41 |  |  |  |
| 47 | pegovka | 1 | 1 | 1 | 27 | 43 | 48 | 50 | 76 | 64 | 67 | 1 | 1 | 57 | 1 | 70 | 60 | 63 | 70 | 43 | 61 | 60 | 47 |  |  |  |
| 49 | Canivsar | 144 | 111 | 117 | 102 | 92 | 58 | 73 | 75 | 52 | 53 | 71 | 52 | 39 | 52 | 61 | 46 | 38 | 33 | 59 | 33 | 33 |  | 30 | 25 |  |
| 50 | Cult of the Bound Variable | 1 | 91 | 64 | 59 | 67 | 38 | 49 | 48 | 46 | 45 | 77 | 58 | 42 | 53 | 54 | 44 | 37 | 50 | 75 | 32 | 70 | 55 |  |  |  |
| 51 | Forthissimo | 1 | 55 | 67 | 55 | 57 | 33 | 41 | 49 | 36 | 50 | 83 | 65 | 47 | 60 | 38 | 42 | 46 | 61 | 16 | 39 | 42 |  |  |  |  |
| 52 | Team Sampou | 1 | 55 | 85 | 68 | 83 | 52 | 83 | 73 | 49 | 46 | 1 | 53 | 40 | 47 | 59 | 50 | 45 | 34 | 82 | 34 | 34 | 37 |  |  |  |
| 53 | A Storm of Minds | 1 | 1 | 1 | 27 | 43 | 53 | 52 | 76 | 61 | 69 | 1 | 1 | 58 | 72 | 59 | 62 | 63 | 63 | 39 | 56 | 55 | 45 |  |  |  |
| 54 | radeye | 156 | 105 | 87 | 80 | 85 | 71 | 75 | 71 | 53 | 48 | 69 | 57 | 41 | 44 | 65 | 53 | 42 | 29 | 61 | 45 | 40 |  |  | 26 |  |
| 55 | cipher | 1 | 55 | 65 | 45 | 43 | 53 | 52 | 76 | 67 | 67 | 1 | 1 | 58 | 72 | 72 | 64 | 68 | 70 | 44 | 59 | 59 | 48 |  |  |  |
| 56 | ilikerice | 1 | 105 | 1 | 74 | 84 | 58 | 84 | 71 | 50 | 52 | 81 | 69 | 50 | 58 | 62 | 51 | 49 | 57 | 54 | 42 | 43 | 40 |  |  |  |
| 57 | Olympia | 1 | 1 | 1 | 21 | 38 | 73 | 95 | 94 | 71 | 59 | 1 | 1 |  | 55 | 75 | 69 | 58 | 47 | 63 | 55 | 54 | 42 |  |  |  |
| 58 | Team Meh | 146 | 93 | 72 | 62 | 74 | 60 | 75 | 60 | 54 | 61 | 86 | 70 | 53 | 64 | 52 | 56 | 60 | 74 | 32 | 49 | 52 | 43 |  |  |  |
| 59 | Dare Ludum | 1 | 55 | 1 | 27 | 61 | 77 | 96 | 100 | 65 | 80 | 94 | 1 | 58 | 72 | 50 | 62 | 63 | 63 | 39 | 56 | 55 | 46 |  |  |  |
| 60 | TSG | 1 | 1 | 1 | 27 | 43 | 53 | 52 | 76 | 63 | 69 | 1 | 1 | 58 | 72 | 93 | 90 | 92 | 87 | 66 | 87 | 87 | 66 |  |  |  |
| 61 | Rogue Operations | 1 | 55 | 72 | 62 | 71 | 60 | 75 | 60 | 55 | 63 | 89 | 70 | 53 | 64 | 56 | 61 | 66 | 67 | 38 | 53 | 49 |  |  |  |  |
| 62 | Slow | 146 | 93 | 72 | 62 | 74 | 60 | 75 | 60 | 58 | 61 | 87 | 70 | 53 | 64 | 52 | 55 | 60 | 74 | 30 | 49 | 52 |  |  |  |  |
| 63 | undercut | 146 | 93 | 72 | 62 | 70 | 60 | 75 | 60 | 56 | 63 | 88 | 70 | 53 | 64 | 44 | 65 | 69 | 69 | 42 | 53 | 50 |  |  |  |  |
| 63 | brbrbrbrfr | 155 | 109 | 82 | 86 | 91 | 74 | 92 | 90 | 74 | 57 | 73 | 64 | 51 | 54 | 71 | 71 | 52 | 37 | 71 | 67 | 68 | 50 |  |  |  |
| 65 | Dimetrodon | 1 | 1 | 1 | 27 | 30 | 17 | 33 | 30 | 29 | 32 | 50 | 1 |  | 28 | 13 | 39 | 44 |  |  |  |  |  |  |  |  |
| 66 | **dysfunctional** | **piglets** | 1 | 1 | 79 | 81 | 12 | 82 | 30 | 27 | 78 | 55 | 1 |  |  | 48 | 74 | 82 | 81 | 60 | 83 | 78 | 76 | 61 |  |  |  |
| 67 | Pure Laziness | 156 | 111 | 87 | 78 | 92 | 75 | 89 | 90 | 68 | 72 | 92 | 74 | 63 | 70 | 69 | 67 | 71 | 68 | 57 | 58 | 61 | 49 |  |  |  |
| 68 | code-o-matic | 161 | 118 | 67 | 88 | 69 | 76 | 102 | 101 | 71 | 82 | 98 | 75 | 65 | 30 | 77 | 70 | 74 | 76 | 60 | 62 | 65 | 51 |  |  |  |
| 69 | Ateam | 1 | 55 | 1 | 61 | 36 | 64 | 85 | 76 | 80 | 74 | 1 | 66 |  | 72 | 78 | 87 | 87 | 81 | 69 | 83 | 81 | 64 |  |  |  |
| 70 | wheezards | 1 | 1 | 1 | 1 | 11 | 25 | 14 | 13 | 69 | 44 | 56 |  |  |  | 89 | 74 | 76 |  | 64 | 77 |  | 60 |  |  |  |
| 71 | yorofuwa | 1 | 55 | 95 | 90 | 98 | 78 | 91 | 98 | 75 | 83 | 93 | 76 | 66 | 46 | 87 | 73 | 78 | 77 | 65 | 65 | 64 | 53 |  |  |  |
| 72 | Zebra Infused Hamsters | 1 | 85 | 101 | 91 | 63 | 85 | 36 | 34 | 81 | 86 | 59 |  |  | 81 | 76 | 75 | 70 | 49 | 74 | 70 | 69 | 54 |  |  |  |
| 73 | 0A | 1 | 1 | 103 | 95 | 43 | 88 | 45 | 45 | 84 | 90 | 1 |  |  | 85 | 81 | 78 | 75 | 54 | 78 | 73 | 73 | 57 |  |  |  |
| 74 | sjoerd_visscher | 1 | 1 | 101 | 96 | 43 | 89 | 46 | 42 | 86 | 91 | 1 |  |  | 86 | 82 | 79 | 77 | 55 | 79 | 74 | 74 | 58 |  |  |  |
| 75 | wendigogo | 1 | 55 | 105 | 94 | 100 | 90 | 94 | 99 | 89 | 93 | 74 | 68 | 52 | 89 | 90 | 81 | 79 | 56 | 68 | 75 | 75 | 59 |  |  |  |
| 76 | DNIWE :: a | 1 | 1 | 1 | 66 | 43 | 64 | 52 | 76 | 96 | 79 | 1 | 66 |  | 72 | 91 | 92 | 90 | 84 | 86 | 83 | 81 |  |  |  |  |
| 77 | lambda-llama | 1 | 1 | 1 | 27 | 12 | 34 | 101 | 43 | 34 | 47 | 53 | 1 |  | 21 | 36 | 41 |  |  |  |  |  |  |  |  |  |
| 77 | Gobelet | 146 | 115 | 97 | 84 | 96 | 80 | 75 | 69 | 70 | 73 | 85 |  | 64 | 64 | 62 | 66 | 67 | 66 | 56 | 64 | 63 |  |  |  |  |
| 79 | s1mahoeg | 1 | 87 | 84 | 48 | 88 | 81 | 98 | 107 | 76 | 85 | 82 | 55 |  | 82 | 67 | 68 | 62 | 78 | 62 | 68 | 66 |  |  |  |  |
| 80 | Ty chyo pyos? | 1 | 93 | 106 | 92 | 76 | 86 | 65 | 53 | 82 | 88 | 66 |  |  | 83 | 83 | 76 | 72 | 50 | 75 | 71 | 70 | 55 |  |  |  |
| 81 | PLRG :: Bristol | 1 | 119 | 87 | 83 | 89 | 79 | 97 | 106 | 66 | 49 |  | 59 |  | 37 | 67 | 72 | 53 | 42 | 72 | 66 | 67 |  |  |  |  |
| 82 | codingteam | 1 | 1 | 1 | 1 | 106 | 96 | 75 | 60 | 93 | 87 | 97 |  |  | 80 | 92 | 88 | 88 | 82 | 73 | 85 | 83 | 65 |  |  |  |
| 83 | irori | 1 | 1 | 109 | 67 | 43 | 92 | 52 | 76 | 79 | 78 | 1 |  |  | 72 | 93 | 86 | 86 | 80 | 85 | 82 | 80 |  |  |  |  |
| 84 | Bottle kids! | 1 | 103 | 72 | 77 | 101 | 66 | 106 | 60 | 94 | 75 | 90 |  |  | 64 | 98 | 91 | 91 | 86 | 84 | 80 | 79 | 62 |  |  |  |
| 85 | sanma | 156 | 93 | 106 | 92 | 76 | 86 | 65 | 53 | 82 | 88 | 66 |  |  | 83 | 83 | 76 | 72 | 50 | 75 | 71 | 70 |  |  |  |  |
| 86 | yowa | 1 | 114 | 98 | 89 | 97 | 83 | 93 | 96 | 77 | 77 | 78 |  |  | 62 | 85 | 80 | 80 | 58 | 81 | 76 | 77 |  |  |  |  |
| 87 | Gon The Fox | 1 | 1 | 1 | 1 | 35 | 95 | 62 | 76 | 91 | 95 | 1 | 1 |  | 90 | 14 |  | 83 |  |  |  |  |  |  |  |  |
| 88 | R22b | 1 | 1 | 1 | 57 | 107 | 84 | 105 | 105 | 88 | 81 |  |  |  | 88 | 78 | 84 | 85 | 79 | 67 | 79 | 78 |  |  |  |  |
| 89 | Maximum | 1 | 1 | 1 | 85 | 99 | 70 | 87 | 97 | 51 | 60 |  |  |  | 59 | 58 | 38 | 32 | 43 |  |  |  |  |  |  |  |
| 90 | pointless | 146 | 101 | 114 | 100 | 71 | 99 | 75 | 60 | 98 | 97 | 84 |  |  | 91 | 97 | 94 | 95 | 89 | 87 | 88 | 85 | 67 |  |  |  |
| 91 | tsickle | 1 | 83 | 1 | 50 |  | 29 | 34 | 50 |  |  |  |  |  | 7 | 23 | 25 | 39 |  | 7 |  |  |  |  |  |  |
| 92 | GrinGene | 1 | 55 | 1 | 1 | 12 | 13 | 13 | 10 | 12 | 12 |  |  |  |  | 18 |  |  |  |  |  |  |  |  |  |  |
| 93 | Lama | 1 | 102 | 1 | 1 | 90 | 94 | 104 | 102 | 85 | 94 |  |  |  | 87 | 80 | 83 | 84 | 83 |  | 81 |  | 63 |  |  |  |
| 94 | tmd | 1 | 108 | 116 | 101 | 86 | 100 | 88 | 89 | 99 | 98 | 91 |  |  | 92 | 99 | 95 | 96 | 90 | 88 | 89 | 86 |  |  |  |  |
| 95 | OMGICFPFTW | 1 | 120 | 94 | 99 | 108 | 98 | 108 | 108 | 97 | 96 |  |  |  | 93 | 86 | 89 | 89 | 85 | 80 | 86 | 84 |  |  |  |  |
| 96 | goto11 | 1 | 1 | 109 | 104 | 43 | 101 | 52 | 76 | 100 | 99 | 1 |  |  | 94 | 93 | 93 | 92 | 87 |  |  |  |  |  |  |  |
| 97 | optima | 1 | 55 | 70 | 98 | 12 | 97 | 7 | 1 | 92 |  |  |  |  |  | 73 | 85 | 82 |  |  |  |  |  |  |  |  |
| 98 | Turing Machinists | 162 | 116 | 119 | 108 | 104 | 104 | 99 | 103 | 103 | 101 | 96 |  |  | 95 | 100 |  | 97 | 91 |  | 90 | 88 | 68 |  |  |  |
| 99 | masataka | 1 | 1 | 1 | 87 | 43 | 93 | 52 | 76 | 90 | 84 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 100 | O Caml My Caml | 1 | 55 | 1 | 79 | 103 | 68 | 107 | 60 | 95 | 76 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 101 | Side Effects May Include... | 1 | 1 | 109 | 104 | 43 | 101 | 52 | 76 | 100 | 99 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 102 | shinh | 1 | 92 | 113 | 97 | 73 | 91 | 65 | 68 | 87 | 92 | 72 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 103 | Dis Functional | 1 | 55 | 100 | 52 | 102 | 69 | 52 | 76 | 73 | 71 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 104 | Leaf Pie | 1 | 1 | 1 | 1 | 12 |  | 7 |  |  |  | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 105 | killswitch | 1 | 55 | 1 | 104 | 56 | 101 | 85 | 76 | 100 |  |  |  |  |  | 93 |  | 92 |  |  |  |  |  |  |  |  |
| 106 | Cup<T> | 1 | 55 | 114 | 109 | 36 | 105 | 103 | 93 | 104 |  | 1 |  |  |  | 102 |  |  |  |  |  |  |  |  |  |  |
| 107 | cashto | 1 | 89 | 108 |  | 65 |  | 42 | 39 |  |  | 1 |  |  |  | 88 |  |  |  |  |  |  |  |  |  |  |
| 108 | Channable & Friends | 1 | 1 | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| **109** | **uguu.org** | **1** | **55** | **** | **** | **** | **** | **** | **** | **** | **** | **1** | **1** | **** | **** | **** | **** | **** | **** | **** | **** | **** | **** | **** | **** | **** |
| 110 | KMC | 146 | 116 | 119 |  | 104 |  | 99 | 103 |  |  |  |  |  |  | 100 |  |  |  |  |  |  |  |  |  |  |
| 111 | Pure Laziness (backup account) | 156 | 111 | 117 | 102 | 92 |  |  | 92 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 112 | FunctionalPerls | 1 | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 112 | yupiteru | 1 | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 114 | idkjava | 1 | 55 | 104 | 110 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 115 | miniBill | 1 | 55 | 109 | 104 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 116 | UnlikelyToSucceed | 1 | 55 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 116 | Lyrical Tokarev | 1 | 55 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 116 | ??? | 1 | 55 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 119 | shim0 | 163 |  | 121 | 111 |  |  | 109 | 109 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 120 | 910z | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 121 | Croco (discord&twitter must die) | 1 |  | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 122 | Sabae no Applicative Functor | 1 | 55 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 123 | nesinboh | 145 |  | 79 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 124 | lambdametal | 1 |  | 98 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 125 | Drmk | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 125 | sbite0138 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 125 | Junkfood | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 125 | sash | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 125 | Pech1 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 125 | sh | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 125 | unsatcore | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 125 | ;Unbound variable: teamname | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 125 | FIRQ | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 125 | TCPC | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 125 | Tusan | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 125 | Lambgaga | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 125 | Serpens Viridis | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 125 | help | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 125 | poyo | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 125 | Crownfall Crew | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 125 | NetworkNinjas | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 125 | OxBox | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
