| # | team | hello | lambdaman | spaceship | 3d | efficiency |
| 124 | Sabae no Applicative Functor | 1 | 189 | 121 |  |  |
| 125 | Team Solo Mec | 1 | 157 | 124 |  |  |
| 125 | sash | 1 | 157 | 124 |  |  |
| 125 | Tusan | 1 | 157 | 124 |  |  |
| 128 | PLRG :: Bristol | 149 | 156 | 80 |  |  |
| 129 | Frictionless Bananas | 1 | 16 |  |  |  |
| 130 | glua.team | 149 | 81 | 124 |  |  |
| 131 | UnlikelyToSucceed | 149 | 128 | 116 |  |  |
| 132 | s1mahoeg | 149 | 169 | 78 |  |  |
| 133 | Drmk | 149 | 89 | 124 |  |  |
| 133 | unsatcore | 1 | 173 | 124 |  |  |
| 133 | Lambgaga | 1 | 173 | 124 |  |  |
| 136 | help | 1 | 189 | 124 |  |  |
| 136 | poyo | 1 | 189 | 124 |  |  |
| 138 | Pure Laziness | 149 | 189 | 67 |  |  |
| 139 | camel_case | 1 | 189 | 163 |  |  |
| 140 | Pech1 | 149 | 114 | 124 |  |  |
| 141 | nesinboh | 247 | 132 | 122 |  |  |
| 142 | DNIWE :: a | 149 | 209 | 75 |  |  |
| 143 | FunctionalPerls | 149 | 173 | 112 |  |  |
| 144 | naminoneiro | 149 | 141 | 124 |  |  |
| 145 | ;Unbound variable: teamname | 149 | 147 | 124 |  |  |
| 146 | CamYarra | 149 | 149 | 124 |  |  |
| 147 | takus | 149 | 152 | 124 |  |  |
| 148 | zfhrp | 149 | 153 | 124 |  |  |
| 149 | Pure Laziness (backup account) | 149 | 189 | 111 |  |  |
| 150 | uneu.net | 1 | 94 |  |  |  |
| 151 | optima | 1 |  | 96 |  |  |
| 152 | OxBox | 149 | 157 | 124 |  |  |
| 153 | Prof Prog | 1 | 116 |  |  |  |
| 154 | Xeniac | 149 | 173 | 124 |  |  |
| 154 | NetworkNinjas | 149 | 173 | 124 |  |  |
| 156 | jm | 1 | 120 |  |  |  |
| 157 | Waterloo Napoleons | 1 | 131 |  |  |  |
| 158 | Serpens Viridis | 149 | 189 | 124 |  |  |
| 158 | N?rke Nation | 149 | 189 | 124 |  |  |
| 158 | Sumedh Girish | 149 | 189 | 124 |  |  |
| 161 | Massive force to give up | 144 | 140 |  |  |  |
| 161 | sbite0138 | 149 | 205 | 124 |  |  |
| 161 | Canivsar | 149 |  | 49 |  |  |
| 164 | monoid | 149 | 208 | 161 |  |  |
| 165 | Crownfall Crew | 1 |  | 124 |  |  |
| 166 | Leg of Lambda | 1 | 157 |  |  |  |
| 166 | insert team name here | 1 | 157 |  |  |  |
| 168 | Pi | 237 | 63 |  |  |  |
| 168 | FIRQ | 247 | 189 | 124 |  |  |
| 170 | Sihl++ | 1 | 171 |  |  |  |
| 170 | gaha | 149 | 77 |  |  |  |
| 172 | Pi | 149 | 85 |  |  |  |
| 173 | almosthere | 1 | 173 |  |  |  |
| 174 | wendigogo | 237 |  | 81 |  |  |
| 175 | skermes | 146 | 173 |  |  |  |
| 176 | unsafePerform.IO | 146 | 186 |  |  |  |
| 177 | LoneBot | 149 | 102 |  |  |  |
| 178 | hayato | 149 | 105 |  |  |  |
| 179 | Pseudo  | 149 | 106 |  |  |  |
| 180 | Human Instrumentality Project | 1 | 189 |  |  |  |
| 181 | pandaT | 149 | 115 |  |  |  |
| 182 | just_me | 247 | 91 |  |  |  |
| 183 | keles | 149 | 119 |  |  |  |
| 184 | peterm | 149 | 125 |  |  |  |
| 184 | miniBill | 237 |  | 115 |  |  |
| 186 | Dr0ne | 149 | 126 |  |  |  |
| 187 | Apprentice | 149 | 127 |  |  |  |
| 188 | Lamb-duh | 149 | 142 |  |  |  |
| 189 | DavidB | 149 | 144 |  |  |  |
| 190 | FCCPC | 149 | 151 |  |  |  |
| 191 | Wrong Tool For The Job | 149 | 154 |  |  |  |
| 192 | tratata | 149 |  | 124 |  |  |
| 193 | C64 | 237 | 155 |  |  |  |
| 194 | ai | 149 | 157 |  |  |  |
| 195 | Intrepid Investigator | 149 | 167 |  |  |  |
| 196 | I-M-X | 149 | 172 |  |  |  |
| 197 | Kaos | 247 | 148 |  |  |  |
| 198 | Mimir's k?lla | 247 | 149 |  |  |  |
| 199 | ToastUz | 149 | 173 |  |  |  |
| 199 | Whoknows | 149 | 173 |  |  |  |
| 199 | Sigmoid Freud | 149 | 173 |  |  |  |
| 202 | corylopsis | 149 | 185 |  |  |  |
| 203 | fp[uk] | 149 | 186 |  |  |  |
| 204 | CoderMal | 149 | 188 |  |  |  |
| 205 | Lexi | 247 | 157 |  |  |  |
| 205 | Distracted Corvids | 247 | 157 |  |  |  |
| 207 | NasconDini | 247 | 170 |  |  |  |
| 208 | ShadySharingan | 149 | 189 |  |  |  |
| 208 | the-bam | 149 | 189 |  |  |  |
| 208 | SPAAACE | 149 | 189 |  |  |  |
| 211 | Invisible Imp | 149 | 205 |  |  |  |
| 211 | Codice Loco ( ?? ?? ??) | 149 | 205 |  |  |  |
| 213 | Affliction | 247 | 173 |  |  |  |
| 214 | Ground Truth | 237 | 189 |  |  |  |
| 215 | Docet Omnia | 1 |  |  |  |  |
| 215 | JumpingJaguar | 1 |  |  |  |  |
| 215 | h4 | 1 |  |  |  |  |
| 215 | Limiting Factor | 1 |  |  |  |  |
| 215 | 3b | 1 |  |  |  |  |
| 215 | 3GjcVykuxyD82HE | 1 |  |  |  |  |
| 215 | sanityinc | 1 |  |  |  |  |
| 215 | xiberfix | 1 |  |  |  |  |
| 215 | uta | 1 |  |  |  |  |
| 215 | Helicoidal Bytecode | 1 |  |  |  |  |
| 215 | xyz600 | 1 |  |  |  |  |
| 215 | Levinski | 1 |  |  |  |  |
| 215 | Mosa Fett | 1 |  |  |  |  |
| 228 | The Higher Order Of Zeuxis | 143 |  |  |  |  |
| 229 | Task Manager (Not Responding) | 146 |  |  |  |  |
| 230 | turbolent | 247 | 189 |  |  |  |
| 231 | TerrorBytes | 149 |  |  |  |  |
| 231 | suicide | 149 |  |  |  |  |
| 231 | XLERB | 149 |  |  |  |  |
| 231 | TeamTeam | 149 |  |  |  |  |
| 231 | Snowbot Brigade | 149 |  |  |  |  |
| 231 | ishmeal | 149 |  |  |  |  |
| 231 | theta | 149 |  |  |  |  |
| 231 | Sha90w | 149 |  |  |  |  |
| 231 | gdb | 149 |  |  |  |  |
| 231 | Dysfunction | 149 |  |  |  |  |
| 231 | fantastic-couscous | 149 |  |  |  |  |
| 231 | 7999f27ae4db | 149 |  |  |  |  |
| 231 | Lambda Collective | 149 |  |  |  |  |
| 231 | N0BML | 149 |  |  |  |  |
| 231 | ThinkWithGames | 149 |  |  |  |  |
| 231 | Isaac Clarke | 149 |  |  |  |  |
| 231 | 4eta | 149 |  |  |  |  |
| 231 | samayou_kaede | 149 |  |  |  |  |
| 231 | Various slide rules | 149 |  |  |  |  |
| 231 | Freddy Pringle | 149 |  |  |  |  |
| 231 | botrevenge | 149 |  |  |  |  |
| 252 | wolfadex | 237 |  |  |  |  |
| 252 | Keksfreunde | 237 |  |  |  |  |
| 252 | a | 237 |  |  |  |  |
| 252 | h4rr9 | 237 |  |  |  |  |
| 252 | TS_TCPC | 237 |  |  |  |  |
| 257 | balonit_bros | 247 |  |  |  |  |
| 257 | speakerteeth | 247 |  |  |  |  |
| 257 | hk | 247 |  |  |  |  |
| 257 | mcpony | 247 |  |  |  |  |
| 257 | azak | 247 |  |  |  |  |
| 257 | Golden Middle | 247 |  |  |  |  |
| 257 | poka | 247 |  |  |  |  |
| 264 | EvbCFfp1XB | 264 |  |  |  |  |
| 264 | matmis | 264 |  |  |  |  |
| 264 | Hacksell | 264 |  |  |  |  |
| 264 | GeriatricCoder | 264 |  |  |  |  |
| 264 | p-coder | 264 |  |  |  |  |
| 264 | tryhard | 264 |  |  |  |  |
| 264 | TerrorBytes | 264 |  |  |  |  |
| 264 | Sigmoid Freud | 264 |  |  |  |  |
| 264 | Gobelet | 264 |  |  |  |  |
| 264 | Man with a minivan | 264 |  |  |  |  |
| 264 | Q | 264 |  |  |  |  |
| 264 | kakira | 264 |  |  |  |  |
| 264 | Rasengan | 264 |  |  |  |  |
| 264 | tsickle | 264 |  |  |  |  |
| 264 | Flat Earth Society - Jovian Chapter | 264 |  |  |  |  |
| 264 | Nolan | 264 |  |  |  |  |
| 264 | Briareos | 264 |  |  |  |  |
| 264 | team | 264 |  |  |  |  |
| 264 | cyberecho | 264 |  |  |  |  |
| 264 | g7r | 264 |  |  |  |  |
| 264 | Bowlerinas | 264 |  |  |  |  |
| 264 | Heklers @ < 16% | 264 |  |  |  |  |
| 264 | Nicolas van Kempen | 264 |  |  |  |  |
| 264 | Zarief's Team | 264 |  |  |  |  |
| 264 | woo hou feng | 264 |  |  |  |  |
| 264 | dfyz | 264 |  |  |  |  |
| 264 | szn | 264 |  |  |  |  |
| 264 | skullgang | 264 |  |  |  |  |
| 264 | Aqqrs | 264 |  |  |  |  |
| 264 | Cail_Team | 264 |  |  |  |  |
| 264 | spid2007 | 264 |  |  |  |  |
| 264 | Blue Iris | 264 |  |  |  |  |
| 264 | Now Loading... | 264 |  |  |  |  |
| 264 | winterfell | 264 |  |  |  |  |
| 264 | Stochastic Pretzels | 264 |  |  |  |  |
| 264 | bscii | 264 |  |  |  |  |
| 264 | farwah | 264 |  |  |  |  |
| 264 | ush | 264 |  |  |  |  |
| 264 | ? | 264 |  |  |  |  |
| 264 | quoc28 | 264 |  |  |  |  |
| 264 | no-team | 264 |  |  |  |  |
| 264 | DEIN | 264 |  |  |  |  |
| 264 | sushi-gakushi | 264 |  |  |  |  |
| 264 | cleanlean | 264 |  |  |  |  |
| 264 | Scr4peR | 264 |  |  |  |  |
| 264 | Typeclass Without Laws | 264 |  |  |  |  |
| 264 | Fixed but mostly pointless | 264 |  |  |  |  |
| 264 | mmohammadi9812 | 264 |  |  |  |  |
| 264 | yosupo | 264 |  |  |  |  |
| 264 | ()-age | 264 |  |  |  |  |
| 264 | lotren | 264 |  |  |  |  |
| 264 | gummycandy | 264 |  |  |  |  |
| 264 | awawa | 264 |  |  |  |  |
| 264 | TurtlePU | 264 |  |  |  |  |
| 264 | Luke & Hamish | 264 |  |  |  |  |
| 319 | The Old Man and the C |  |  |  |  |  |
| 319 | Hollow Purple |  |  |  |  |  |
| 319 | D Yang |  |  |  |  |  |
| 319 | LLAMACHAIN |  |  |  |  |  |
| 319 | null |  |  |  |  |  |
| 319 | F47 |  |  |  |  |  |
| 319 | maron8676 |  |  |  |  |  |
| 319 | Team AK |  |  |  |  |  |
| 319 | hustlers |  |  |  |  |  |
| 319 | SoloQueue |  |  |  |  |  |
| 319 | Fantastic 4 |  |  |  |  |  |
| 319 | Slasher |  |  |  |  |  |
| 319 | Dynamo |  |  |  |  |  |
| 319 | Codehunters |  |  |  |  |  |
| 319 | jonathanprogramming |  |  |  |  |  |
| 319 | DarkKnignt |  |  |  |  |  |
| 319 | plan arado |  |  |  |  |  |
| 319 | ateam |  |  |  |  |  |
| 319 | ateam |  |  |  |  |  |
| 319 | aaaa |  |  |  |  |  |
| 319 | GRARIO |  |  |  |  |  |
| 319 | Miracle |  |  |  |  |  |
| 319 | Want To Delete This Account |  |  |  |  |  |
| 319 | solo rank |  |  |  |  |  |
| 319 | ? |  |  |  |  |  |
| 319 | V |  |  |  |  |  |
| 319 | InKryptz |  |  |  |  |  |
| 319 | swayingfish |  |  |  |  |  |
| 319 | One-Pass Gang |  |  |  |  |  |
| 319 | beginner |  |  |  |  |  |
| 319 | random_team |  |  |  |  |  |
| 319 | ToiToi |  |  |  |  |  |
| 319 | Gassa |  |  |  |  |  |
| 319 | blueboar's team |  |  |  |  |  |
| 319 | Ace_yuki |  |  |  |  |  |
| 319 | AAV2024 |  |  |  |  |  |
| 319 | The Marauder |  |  |  |  |  |
| 319 | 0xValhalla |  |  |  |  |  |
| 319 | HCF |  |  |  |  |  |
| 319 | KBashist |  |  |  |  |  |
| 319 | sad |  |  |  |  |  |
| 319 | Discord doesn't work can we please use email instead kthxbye |  |  |  |  |  |
| 319 | ml-brothers |  |  |  |  |  |
| 319 | zenito9970 |  |  |  |  |  |
| 319 | not used |  |  |  |  |  |
| 319 | Binary_Three |  |  |  |  |  |
| 319 | The Demolishers |  |  |  |  |  |
| 319 | @mask |  |  |  |  |  |
| 319 | Strength |  |  |  |  |  |
| 319 | Vic |  |  |  |  |  |
| 319 | leojean890 |  |  |  |  |  |
| 319 | bark but don't bite |  |  |  |  |  |
| 319 | past_army |  |  |  |  |  |
| 319 | solo_coder |  |  |  |  |  |
| 319 | DETOX |  |  |  |  |  |
| 319 | Cail_Team |  |  |  |  |  |
| 319 | Dyalog hehe |  |  |  |  |  |
| 319 | Test |  |  |  |  |  |
| 319 | SKL |  |  |  |  |  |
| 319 | ilikerice |  |  |  |  |  |
| 319 | De Stomme van Campen |  |  |  |  |  |
| 319 | ccc |  |  |  |  |  |
| 319 | not_participating |  |  |  |  |  |
| 319 | Golden Middle |  |  |  |  |  |
| 319 | wheezards |  |  |  |  |  |
| 319 | TBD |  |  |  |  |  |
| 319 | Reflex12 |  |  |  |  |  |
| 319 | Pi |  |  |  |  |  |
| 319 | (mistakenly registered) |  |  |  |  |  |
| 319 | shukhrat |  |  |  |  |  |
| 319 | globalstudent |  |  |  |  |  |
| 319 | a |  |  |  |  |  |
| 319 | serious |  |  |  |  |  |
| 319 | elmurod |  |  |  |  |  |
| 319 | asldev |  |  |  |  |  |
| 319 | ut |  |  |  |  |  |
| 319 | dapps |  |  |  |  |  |
| 319 | fp[uk] |  |  |  |  |  |
| 319 | O'zim |  |  |  |  |  |
| 319 | Quarks |  |  |  |  |  |
| 319 | wanui |  |  |  |  |  |
| 319 | VL |  |  |  |  |  |
| 319 | xmtpj |  |  |  |  |  |
| 319 | Lian Yu |  |  |  |  |  |
| 319 | SomeTeam |  |  |  |  |  |
| 319 | scanhex |  |  |  |  |  |
| 319 | LILik |  |  |  |  |  |
| 319 | Willie_the_Westie |  |  |  |  |  |
| 319 | nyiyui |  |  |  |  |  |
| 319 | seiyakyokai |  |  |  |  |  |
| 319 | Endoscopic |  |  |  |  |  |
| 319 | tryers |  |  |  |  |  |
| 319 | devai |  |  |  |  |  |
| 319 | ?? |  |  |  |  |  |
| 319 | max-theht-xam |  |  |  |  |  |
| 319 | Nt4fVr8KeE2na3m |  |  |  |  |  |
| 319 | p-coder |  |  |  |  |  |
| 319 | mistake |  |  |  |  |  |
| 319 | Tetromino |  |  |  |  |  |
| 319 | YbB |  |  |  |  |  |

You scored some points for looking at the scoreboard! You can also do `get scoreboard <coursename>` to see the scoreboard for a specific course.

