| # | team | efficiency1 | efficiency2 | efficiency3 | efficiency4 | efficiency5 | efficiency6 | efficiency7 | efficiency8 | efficiency9 | efficiency10 | efficiency11 | efficiency12 | efficiency13 |
| 61 | cashto | 1 | 1 | 1 | 1 | 1 |  | 1 | 1 | 1 | 1 | 1 |  |  |
| 62 | sanma | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 |  |  |  |  |
| 63 | DNIWE :: a | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 |  |  |  |  | 1 |
| 63 | lambda-llama | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 |  |  |  |  | 1 |
| 65 | PLRG :: Bristol | 1 | 1 | 1 | 1 | 1 | 1 | 1 |  |  |  |  | 1 | 1 |
| 66 | radeye | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 |  |  |  |  |  |
| 67 | Panicked Albatross | 1 | 1 | 1 | 1 | 1 | 1 |  |  |  |  |  | 1 | 1 |
| 67 | Human Instrumentality Project | 1 | 1 | 1 | 1 | 1 | 1 |  |  |  |  |  | 1 | 1 |
| 67 | xfold | 1 | 1 | 1 | 1 | 1 | 1 |  |  |  |  |  | 1 | 1 |
| 70 | Olympia | 1 | 1 | 1 | 1 | 1 | 1 | 1 |  |  |  |  |  | 1 |
| 70 | killswitch | 1 | 1 | 1 | 1 | 1 | 1 | 1 |  |  |  |  |  | 1 |
| 72 | sonna*baka*na | 1 | 1 | 1 | 1 | 1 |  |  |  |  |  |  | 1 | 1 |
| 73 | Turing Machinists | 1 | 1 | 1 | 1 | 1 | 1 |  |  |  |  |  |  | 1 |
| 73 | Cup<T> | 1 | 1 | 1 | 1 | 1 | 1 |  |  |  |  |  |  | 1 |
| 73 | **dysfunctional** | **piglets** | 1 | 1 | 1 | 1 | 1 | 1 |  |  |  |  |  |  | 1 |
| 76 | Task Manager (Not Responding) | 1 | 1 | 1 | 1 | 1 | 1 |  |  |  |  |  |  |  |
| 76 | mj | 1 | 1 | 1 | 1 | 1 | 1 |  |  |  |  |  |  |  |
| 76 | ilikerice | 1 | 1 | 1 | 1 | 1 | 1 |  |  |  |  |  |  |  |
| 76 | 0A | 1 | 1 | 1 | 1 | 1 | 1 |  |  |  |  |  |  |  |
| 80 | Kirby's Star Allies | 1 | 1 | 1 | 1 | 1 |  |  |  |  |  |  |  | 1 |
| 80 | cipher | 1 | 1 | 1 | 1 | 1 |  |  |  |  |  |  |  | 1 |
| 82 | Sabae no Applicative Functor | 1 | 1 | 1 | 1 |  |  |  |  |  |  |  |  | 1 |
| 82 | lambdametal | 1 | 1 | 1 | 1 |  |  |  |  |  |  |  |  | 1 |
| 82 | Maximum | 1 | 1 | 1 | 1 |  |  |  |  |  |  |  |  | 1 |
| 82 | Lamda Quakens | 1 | 1 | 1 | 1 |  |  |  |  |  |  |  |  | 1 |
| 82 | glua.team | 1 | 1 | 1 | 1 |  |  |  |  |  |  |  |  | 1 |
| 82 | Ateam | 1 | 1 | 1 | 1 |  |  |  |  |  |  |  |  | 1 |
| 82 | Gobelet | 1 | 1 | 1 | 1 |  |  |  |  |  |  |  |  | 1 |
| 82 | Dare Ludum | 1 | 1 | 1 | 1 |  |  |  |  |  |  |  |  | 1 |
| 90 | locally constant | 1 | 1 | 1 | 1 | 1 |  |  |  |  |  |  |  |  |
| 90 | Forthissimo | 1 | 1 | 1 | 1 | 1 |  |  |  |  |  |  |  |  |
| 90 | kumanomi | 1 | 1 | 1 | 1 | 1 |  |  |  |  |  |  |  |  |
| 93 | sjoerd_visscher | 1 | 1 | 1 | 1 |  |  |  |  |  |  |  |  |  |
| 93 | taxidriver | 1 | 1 | 1 | 1 |  |  |  |  |  |  |  |  |  |
| 93 | unsafePerform.IO | 1 | 1 | 1 | 1 |  |  |  |  |  |  |  |  |  |
| 93 | shinh | 1 | 1 | 1 | 1 |  |  |  |  |  |  |  |  |  |
| 93 | Helicoidal Bytecode | 1 | 1 | 1 | 1 |  |  |  |  |  |  |  |  |  |
| 93 | skermes | 1 | 1 | 1 | 1 |  |  |  |  |  |  |  |  |  |
| 93 | hayato | 1 | 1 | 1 | 1 |  |  |  |  |  |  |  |  |  |
| 93 | Invisible Imp | 1 | 1 | 1 | 1 |  |  |  |  |  |  |  |  |  |
| 101 | sh | 1 |  |  | 1 |  | 1 |  |  |  |  |  |  |  |
| 102 | igusarov | 1 | 1 | 1 |  |  |  |  |  |  |  |  |  |  |
| 102 | Sunspear | 1 | 1 | 1 |  |  |  |  |  |  |  |  |  |  |
| 102 | Massive force to give up | 1 | 1 |  | 1 |  |  |  |  |  |  |  |  |  |
| **102** | **uguu.org** | **1** | **1** | **1** | **** | **** | **** | **** | **** | **** | **** | **** | **** | **** |
| 102 | optima | 1 | 1 | 1 |  |  |  |  |  |  |  |  |  |  |
| 107 | GrinGene |  |  |  |  |  | 1 |  |  |  |  |  |  |  |
| 108 | Junkfood | 1 |  |  | 1 |  |  |  |  |  |  |  |  |  |
| 108 | 3b | 1 |  |  | 1 |  |  |  |  |  |  |  |  |  |
| 110 | xyz600 | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |
| 110 | miniBill | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |
| 110 | s1mahoeg | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |
| 110 | *uni* | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |
| 110 | undercut | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |
| 110 | Croco (discord&twitter must die) | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |
| 110 | Better, late, then never | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |
| 110 | Sihl++ | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |
| 110 | Lyrical Tokarev | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |
| 110 | Intrepid Investigator | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |
| 120 | poyo |  | 1 |  |  |  |  |  |  |  |  |  |  |  |
| 121 | OpenMasters | 1 |  |  |  |  |  |  |  |  |  |  |  |  |
| 121 | XLERB | 1 |  |  |  |  |  |  |  |  |  |  |  |  |
| 121 | sushi-gakushi | 1 |  |  |  |  |  |  |  |  |  |  |  |  |
| 121 | Drmk | 1 |  |  |  |  |  |  |  |  |  |  |  |  |
| 121 | Dimetrodon | 1 |  |  |  |  |  |  |  |  |  |  |  |  |
| 121 | DePauw with a W | 1 |  |  |  |  |  |  |  |  |  |  |  |  |
| 121 | RSQRTSS | 1 |  |  |  |  |  |  |  |  |  |  |  |  |
| 121 | Nixie Tubes | 1 |  |  |  |  |  |  |  |  |  |  |  |  |
| 121 | C64 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |
| 121 | p-coder | 1 |  |  |  |  |  |  |  |  |  |  |  |  |
| 121 | samayou_kaede | 1 |  |  |  |  |  |  |  |  |  |  |  |  |
| 121 | tipstar0125 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |
| 121 | KMC | 1 |  |  |  |  |  |  |  |  |  |  |  |  |
| 121 | zfhrp | 1 |  |  |  |  |  |  |  |  |  |  |  |  |
| 121 | UA_paiv | 1 |  |  |  |  |  |  |  |  |  |  |  |  |
| 121 | Channable & Friends | 1 |  |  |  |  |  |  |  |  |  |  |  |  |
| 121 | botrevenge | 1 |  |  |  |  |  |  |  |  |  |  |  |  |
| 121 | tmd | 1 |  |  |  |  |  |  |  |  |  |  |  |  |
| 121 | OMGICFPFTW | 1 |  |  |  |  |  |  |  |  |  |  |  |  |
| 121 | Team Solo Mec | 1 |  |  |  |  |  |  |  |  |  |  |  |  |
| 121 | TCPC | 1 |  |  |  |  |  |  |  |  |  |  |  |  |
| 121 | pointless | 1 |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | The Old Man and the C |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Hollow Purple |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | janiczek |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | D Yang |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Rick Zapor |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Leg of Lambda |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | LLAMACHAIN |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Luke & Hamish |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | null |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | F47 |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | DavidB |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | quoc28 |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | maron8676 |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Team AK |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | hustlers |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | SoloQueue |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Fantastic 4 |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Rogue Operations |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Slasher |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Dynamo |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Codehunters |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | jonathanprogramming |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | DarkKnignt |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | plan arado |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | brbrbrbrfr |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | 910z |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | ateam |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | ateam |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | aaaa |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | GRARIO |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Codice Loco ( ?? ?? ??) |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | ??? |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Miracle |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Side Effects May Include... |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | O Caml My Caml |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Slow |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Want To Delete This Account |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | solo rank |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | ? |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Lambda Collective |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | N0BML |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | V |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Dr0ne |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Mosa Fett |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Distracted Corvids |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | ThinkWithGames |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | ? |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | InKryptz |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | swayingfish |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Sumedh Girish |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | One-Pass Gang |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | beginner |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | random_team |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | ToiToi |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Gassa |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | blueboar's team |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Apprentice |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Ace_yuki |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | AAV2024 |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | The Marauder |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | 0xValhalla |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | HCF |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Isaac Clarke |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | KBashist |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Sigmoid Freud |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | sad |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Waterloo Napoleons |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | camel_case |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | naminoneiro |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | ush |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | CamYarra |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Xeniac |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | farwah |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Discord doesn't work can we please use email instead kthxbye |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | takus |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | N?rke Nation |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Levinski |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | bscii |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | ml-brothers |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | zenito9970 |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Stochastic Pretzels |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | winterfell |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Now Loading... |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | not used |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Binary_Three |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | The Demolishers |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | corylopsis |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Prof Prog |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | @mask |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Strength |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Vic |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | leojean890 |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | cw |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Blue Iris |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | bark but don't bite |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | spid2007 |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | shim0 |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | past_army |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | gaha |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | solo_coder |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | DETOX |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | uta |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Undecidable |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Cail_Team |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | no-team |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | pandaT |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | DEIN |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | 4eta |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | xiberfix |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | poka |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | OxBox |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | R22b |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Sayang <3 |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | sushi-gakushi |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Cail_Team |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | peterm |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Golden Middle |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | azak |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Dyalog hehe |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Test |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | sbite0138 |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | uneu.net |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | SKL |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | ilikerice |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | sanityinc |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | De Stomme van Campen |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | ccc |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | 3GjcVykuxyD82HE |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | TurtlePU |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Dis Functional |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | awawa |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Pure Laziness |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Kaos |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | almosthere |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | mcpony |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | nesinboh |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | not_participating |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Lexi |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | jm |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | gummycandy |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Golden Middle |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | sash |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | lotren |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | ShadySharingan |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Whoknows |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | ()-age |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Pech1 |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | masataka |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Pi |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | hk |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | just_me |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Ground Truth |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | wheezards |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | Various slide rules |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | <please-delete> |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | yosupo |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | mmohammadi9812 |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | ToastUz |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | NasconDini |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 143 | LoneBot |  |  |  |  |  |  |  |  |  |  |  |  |  |
